"state","city","datePosted","nanny_jobsPosted"
"CA","los+angeles",2020-06-28,1
"CA","los+angeles",2020-06-29,2
"CA","los+angeles",2020-06-30,4
"CA","los+angeles",2020-07-01,1
"CA","los+angeles",2020-07-03,3
"CA","los+angeles",2020-07-04,1
"CA","los+angeles",2020-07-05,1
"CA","los+angeles",2020-07-06,2
"CA","los+angeles",2020-07-09,1
"CA","los+angeles",2020-07-10,3
"CA","los+angeles",2020-07-11,1
"CA","los+angeles",2020-07-12,2
"CA","los+angeles",2020-07-13,4
"CA","los+angeles",2020-07-14,4
"CA","los+angeles",2020-07-15,4
"CA","los+angeles",2020-07-16,2
"CA","los+angeles",2020-07-18,7
"CA","los+angeles",2020-07-19,3
"CA","los+angeles",2020-07-21,2
"CA","los+angeles",2020-07-22,3
"CA","los+angeles",2020-07-26,2
"CA","los+angeles",2020-07-27,6
"CA","los+angeles",2020-07-28,4
"CA","los+angeles",2020-07-29,1
"CA","los+angeles",2020-07-30,4
"CA","los+angeles",2020-07-31,1
"CA","los+angeles",2020-08-01,1
"CA","los+angeles",2020-08-02,2
"CA","los+angeles",2020-08-03,3
"CA","los+angeles",2020-08-04,36
"CA","los+angeles",2020-08-05,8
"CA","los+angeles",2020-08-06,15
"CA","los+angeles",2020-08-07,7
"CA","los+angeles",2020-08-08,7
"CA","los+angeles",2020-08-09,5
"CA","los+angeles",2020-08-10,5
"CA","los+angeles",2020-08-11,5
"CA","los+angeles",2020-08-12,2
"CA","los+angeles",2020-08-13,6
"CA","los+angeles",2020-08-14,4
"CA","los+angeles",2020-08-15,1
"CA","los+angeles",2020-08-16,3
"CA","oakland",2020-06-24,1
"CA","oakland",2020-06-25,1
"CA","oakland",2020-06-27,1
"CA","oakland",2020-06-29,1
"CA","oakland",2020-06-30,1
"CA","oakland",2020-07-01,1
"CA","oakland",2020-07-03,1
"CA","oakland",2020-07-04,1
"CA","oakland",2020-07-05,3
"CA","oakland",2020-07-06,1
"CA","oakland",2020-07-07,5
"CA","oakland",2020-07-08,7
"CA","oakland",2020-07-09,4
"CA","oakland",2020-07-10,1
"CA","oakland",2020-07-14,7
"CA","oakland",2020-07-15,9
"CA","oakland",2020-07-16,3
"CA","oakland",2020-07-17,6
"CA","oakland",2020-07-18,3
"CA","oakland",2020-07-19,1
"CA","oakland",2020-07-20,8
"CA","oakland",2020-07-21,3
"CA","oakland",2020-07-22,1
"CA","oakland",2020-07-23,6
"CA","oakland",2020-07-24,5
"CA","oakland",2020-07-25,4
"CA","oakland",2020-07-26,2
"CA","oakland",2020-07-27,1
"CA","oakland",2020-07-28,4
"CA","oakland",2020-07-29,7
"CA","oakland",2020-07-30,3
"CA","oakland",2020-07-31,7
"CA","oakland",2020-08-03,4
"CA","oakland",2020-08-04,28
"CA","oakland",2020-08-05,12
"CA","oakland",2020-08-06,6
"CA","oakland",2020-08-07,4
"CA","oakland",2020-08-08,8
"CA","oakland",2020-08-09,4
"CA","oakland",2020-08-10,12
"CA","oakland",2020-08-11,4
"CA","oakland",2020-08-12,2
"CA","oakland",2020-08-13,6
"CA","oakland",2020-08-14,5
"CA","oakland",2020-08-15,3
"CA","oakland",2020-08-16,5
"CA","oakland",2020-08-17,1
"CA","sacramento",2020-06-30,2
"CA","sacramento",2020-07-05,2
"CA","sacramento",2020-07-08,2
"CA","sacramento",2020-07-10,2
"CA","sacramento",2020-07-12,3
"CA","sacramento",2020-07-13,1
"CA","sacramento",2020-07-14,3
"CA","sacramento",2020-07-17,2
"CA","sacramento",2020-07-24,1
"CA","sacramento",2020-07-25,1
"CA","sacramento",2020-08-04,49
"CA","sacramento",2020-08-06,5
"CA","sacramento",2020-08-07,4
"CA","sacramento",2020-08-08,1
"CA","sacramento",2020-08-09,5
"CA","sacramento",2020-08-10,3
"CA","sacramento",2020-08-11,2
"CA","sacramento",2020-08-13,3
"CA","sacramento",2020-08-14,5
"CA","sacramento",2020-08-15,2
"CA","sacramento",2020-08-16,3
"CA","sacramento",2020-08-17,2
"CA","san+diego",2020-06-30,1
"CA","san+diego",2020-07-02,2
"CA","san+diego",2020-07-03,1
"CA","san+diego",2020-07-05,2
"CA","san+diego",2020-07-06,1
"CA","san+diego",2020-07-08,1
"CA","san+diego",2020-07-09,1
"CA","san+diego",2020-07-10,2
"CA","san+diego",2020-07-14,6
"CA","san+diego",2020-07-15,1
"CA","san+diego",2020-07-16,1
"CA","san+diego",2020-07-18,3
"CA","san+diego",2020-07-19,1
"CA","san+diego",2020-07-20,3
"CA","san+diego",2020-07-21,4
"CA","san+diego",2020-07-22,4
"CA","san+diego",2020-07-28,2
"CA","san+diego",2020-07-31,6
"CA","san+diego",2020-08-04,44
"CA","san+diego",2020-08-05,11
"CA","san+diego",2020-08-06,8
"CA","san+diego",2020-08-07,8
"CA","san+diego",2020-08-08,4
