"city","state","price","todaysDate","MinPrice","MaxPrice","AvgPrice"
"montgomery","AL","660 - 765","Mon Aug 10 07:06:57 2020",660,765,712.5
"montgomery","AL","959 - 979","Mon Aug 10 07:06:57 2020",959,979,969
"montgomery","AL","580 - 660","Mon Aug 10 07:06:57 2020",580,660,620
"montgomery","AL","690 - 691","Mon Aug 10 07:06:57 2020",690,691,690.5
"montgomery","AL","620 - 635","Mon Aug 10 07:06:57 2020",620,635,627.5
"montgomery","AL","600","Mon Aug 10 07:06:57 2020",600,NA,600
"montgomery","AL","925","Mon Aug 10 07:06:57 2020",925,NA,925
"montgomery","AL","775","Mon Aug 10 07:06:57 2020",775,NA,775
"montgomery","AL","700 - 1500","Mon Aug 10 07:06:57 2020",700,1500,1100
"mobile","AL","920 - 1011","Mon Aug 10 07:07:01 2020",920,1011,965.5
"mobile","AL","1005 - 1430","Mon Aug 10 07:07:01 2020",1005,1430,1217.5
"mobile","AL","926 - 1372","Mon Aug 10 07:07:01 2020",926,1372,1149
"mobile","AL","692 - 1319","Mon Aug 10 07:07:01 2020",692,1319,1005.5
"mobile","AL","1027 - 1980","Mon Aug 10 07:07:01 2020",1027,1980,1503.5
"mobile","AL","1095 - 1265","Mon Aug 10 07:07:01 2020",1095,1265,1180
"mobile","AL","1086 - 1136","Mon Aug 10 07:07:01 2020",1086,1136,1111
"mobile","AL","709","Mon Aug 10 07:07:01 2020",709,NA,709
"mobile","AL","964 - 1065","Mon Aug 10 07:07:01 2020",964,1065,1014.5
"mobile","AL","669 - 734","Mon Aug 10 07:07:01 2020",669,734,701.5
"mobile","AL","1600 - 1650","Mon Aug 10 07:07:01 2020",1600,1650,1625
"mobile","AL","956 - 1026","Mon Aug 10 07:07:01 2020",956,1026,991
"mobile","AL","845 - 975","Mon Aug 10 07:07:01 2020",845,975,910
"mobile","AL","896 - 926","Mon Aug 10 07:07:01 2020",896,926,911
"mobile","AL","1260 - 1735","Mon Aug 10 07:07:01 2020",1260,1735,1497.5
"mobile","AL","840 - 910","Mon Aug 10 07:07:01 2020",840,910,875
"mobile","AL","1100 - 1180","Mon Aug 10 07:07:01 2020",1100,1180,1140
"mobile","AL","799 - 909","Mon Aug 10 07:07:01 2020",799,909,854
"mobile","AL","990","Mon Aug 10 07:07:01 2020",990,NA,990
"mobile","AL","1095 - 1121","Mon Aug 10 07:07:01 2020",1095,1121,1108
"mobile","AL","1375 - 3600","Mon Aug 10 07:07:01 2020",1375,3600,2487.5
"mobile","AL","795 - 916","Mon Aug 10 07:07:01 2020",795,916,855.5
"mobile","AL","799","Mon Aug 10 07:07:01 2020",799,NA,799
"mobile","AL","880 - 915","Mon Aug 10 07:07:01 2020",880,915,897.5
"mobile","AL","759","Mon Aug 10 07:07:01 2020",759,NA,759
"mobile","AL","1117 - 1255","Mon Aug 10 07:07:01 2020",1117,1255,1186
"mobile","AL","1425","Mon Aug 10 07:07:01 2020",1425,NA,1425
"mobile","AL","800","Mon Aug 10 07:07:01 2020",800,NA,800
"mobile","AL","1835 - 2025","Mon Aug 10 07:07:01 2020",1835,2025,1930
"mobile","AL","1079 - 1217","Mon Aug 10 07:07:01 2020",1079,1217,1148
"mobile","AL","795 - 845","Mon Aug 10 07:07:01 2020",795,845,820
"mobile","AL","895 - 945","Mon Aug 10 07:07:01 2020",895,945,920
"mobile","AL","890 - 1057","Mon Aug 10 07:07:01 2020",890,1057,973.5
"mobile","AL","762 - 992","Mon Aug 10 07:07:01 2020",762,992,877
"mobile","AL","585 - 685","Mon Aug 10 07:07:01 2020",585,685,635
"mobile","AL","875 - 1045","Mon Aug 10 07:07:01 2020",875,1045,960
"mobile","AL","820","Mon Aug 10 07:07:01 2020",820,NA,820
"mobile","AL","710","Mon Aug 10 07:07:01 2020",710,NA,710
"mobile","AL","675","Mon Aug 10 07:07:01 2020",675,NA,675
"mobile","AL","1325 - 1650","Mon Aug 10 07:07:01 2020",1325,1650,1487.5
"mobile","AL","680","Mon Aug 10 07:07:01 2020",680,NA,680
"mobile","AL","995","Mon Aug 10 07:07:01 2020",995,NA,995
"mobile","AL","715","Mon Aug 10 07:07:01 2020",715,NA,715
"mobile","AL","790 - 795","Mon Aug 10 07:07:01 2020",790,795,792.5
"mobile","AL","948 - 999","Mon Aug 10 07:07:01 2020",948,999,973.5
"mobile","AL","699 - 873","Mon Aug 10 07:07:01 2020",699,873,786
"mobile","AL","945 - 2100","Mon Aug 10 07:07:01 2020",945,2100,1522.5
"mobile","AL","1409 - 2096","Mon Aug 10 07:07:01 2020",1409,2096,1752.5
"tuscaloosa","AL","709 - 719","Mon Aug 10 07:07:06 2020",709,719,714
"tuscaloosa","AL","659 - 1418","Mon Aug 10 07:07:06 2020",659,1418,1038.5
"tuscaloosa","AL","809","Mon Aug 10 07:07:06 2020",809,NA,809
"tuscaloosa","AL","565 - 999","Mon Aug 10 07:07:06 2020",565,999,782
"tuscaloosa","AL","970 - 1169","Mon Aug 10 07:07:06 2020",970,1169,1069.5
"tuscaloosa","AL","915 - 1418","Mon Aug 10 07:07:06 2020",915,1418,1166.5
"tuscaloosa","AL","987 - 1017","Mon Aug 10 07:07:06 2020",987,1017,1002
"tuscaloosa","AL","569 - 858","Mon Aug 10 07:07:06 2020",569,858,713.5
"tuscaloosa","AL","869","Mon Aug 10 07:07:06 2020",869,NA,869
"tuscaloosa","AL","1080 - 1150","Mon Aug 10 07:07:06 2020",1080,1150,1115
"tuscaloosa","AL","1081","Mon Aug 10 07:07:06 2020",1081,NA,1081
"tuscaloosa","AL","870","Mon Aug 10 07:07:06 2020",870,NA,870
"tuscaloosa","AL","970 - 998","Mon Aug 10 07:07:06 2020",970,998,984
"tuscaloosa","AL","870 - 1710","Mon Aug 10 07:07:06 2020",870,1710,1290
"tuscaloosa","AL","1000 - 1147","Mon Aug 10 07:07:06 2020",1000,1147,1073.5
"tuscaloosa","AL","765 - 949","Mon Aug 10 07:07:06 2020",765,949,857
"tuscaloosa","AL","760","Mon Aug 10 07:07:06 2020",760,NA,760
"tuscaloosa","AL","672 - 755","Mon Aug 10 07:07:06 2020",672,755,713.5
"tuscaloosa","AL","954 - 1033","Mon Aug 10 07:07:06 2020",954,1033,993.5
"tuscaloosa","AL","995","Mon Aug 10 07:07:06 2020",995,NA,995
"tuscaloosa","AL","649 - 719","Mon Aug 10 07:07:06 2020",649,719,684
"tuscaloosa","AL","795","Mon Aug 10 07:07:06 2020",795,NA,795
"tuscaloosa","AL","778","Mon Aug 10 07:07:06 2020",778,NA,778
"tuscaloosa","AL","1206 - 1350","Mon Aug 10 07:07:06 2020",1206,1350,1278
"tuscaloosa","AL","859","Mon Aug 10 07:07:06 2020",859,NA,859
"tuscaloosa","AL","815 - 950","Mon Aug 10 07:07:06 2020",815,950,882.5
"tuscaloosa","AL","774 - 794","Mon Aug 10 07:07:06 2020",774,794,784
"tuscaloosa","AL","874 - 949","Mon Aug 10 07:07:06 2020",874,949,911.5
"tuscaloosa","AL","1605 - 1920","Mon Aug 10 07:07:06 2020",1605,1920,1762.5
"tuscaloosa","AL","860","Mon Aug 10 07:07:06 2020",860,NA,860
"tuscaloosa","AL","1600","Mon Aug 10 07:07:06 2020",1600,NA,1600
"tuscaloosa","AL","1275","Mon Aug 10 07:07:06 2020",1275,NA,1275
"tuscaloosa","AL","1150","Mon Aug 10 07:07:06 2020",1150,NA,1150
"tuscaloosa","AL","2250","Mon Aug 10 07:07:06 2020",2250,NA,2250
"tuscaloosa","AL","1149 - 1229","Mon Aug 10 07:07:06 2020",1149,1229,1189
"hoover","AL","895 - 984","Mon Aug 10 07:07:10 2020",895,984,939.5
"hoover","AL","845 - 1040","Mon Aug 10 07:07:10 2020",845,1040,942.5
"hoover","AL","995 - 1466","Mon Aug 10 07:07:10 2020",995,1466,1230.5
"hoover","AL","1080 - 1685","Mon Aug 10 07:07:10 2020",1080,1685,1382.5
"hoover","AL","946 - 1413","Mon Aug 10 07:07:10 2020",946,1413,1179.5
"hoover","AL","1000 - 2350","Mon Aug 10 07:07:10 2020",1000,2350,1675
"hoover","AL","1149 - 1179","Mon Aug 10 07:07:10 2020",1149,1179,1164
"hoover","AL","955 - 1050","Mon Aug 10 07:07:10 2020",955,1050,1002.5
"hoover","AL","879 - 979","Mon Aug 10 07:07:10 2020",879,979,929
"hoover","AL","875","Mon Aug 10 07:07:10 2020",875,NA,875
"hoover","AL","1011 - 1166","Mon Aug 10 07:07:10 2020",1011,1166,1088.5
"hoover","AL","1440 - 1605","Mon Aug 10 07:07:10 2020",1440,1605,1522.5
"hoover","AL","1000 - 1525","Mon Aug 10 07:07:10 2020",1000,1525,1262.5
"hoover","AL","980 - 1255","Mon Aug 10 07:07:10 2020",980,1255,1117.5
"hoover","AL","1069 - 1287","Mon Aug 10 07:07:10 2020",1069,1287,1178
"hoover","AL","1150 - 1752","Mon Aug 10 07:07:10 2020",1150,1752,1451
"hoover","AL","910 - 1614","Mon Aug 10 07:07:10 2020",910,1614,1262
"hoover","AL","1180 - 2791","Mon Aug 10 07:07:10 2020",1180,2791,1985.5
"hoover","AL","1147 - 1275","Mon Aug 10 07:07:10 2020",1147,1275,1211
"hoover","AL","1442 - 2964","Mon Aug 10 07:07:10 2020",1442,2964,2203
"hoover","AL","1156 - 1675","Mon Aug 10 07:07:10 2020",1156,1675,1415.5
"hoover","AL","964 - 1248","Mon Aug 10 07:07:10 2020",964,1248,1106
"hoover","AL","945 - 1190","Mon Aug 10 07:07:10 2020",945,1190,1067.5
"hoover","AL","991 - 1131","Mon Aug 10 07:07:10 2020",991,1131,1061
"hoover","AL","934 - 1224","Mon Aug 10 07:07:10 2020",934,1224,1079
"hoover","AL","879 - 1159","Mon Aug 10 07:07:10 2020",879,1159,1019
"hoover","AL","1110 - 1260","Mon Aug 10 07:07:10 2020",1110,1260,1185
"hoover","AL","889 - 1099","Mon Aug 10 07:07:10 2020",889,1099,994
"hoover","AL","1221 - 1375","Mon Aug 10 07:07:10 2020",1221,1375,1298
"hoover","AL","1039 - 1515","Mon Aug 10 07:07:10 2020",1039,1515,1277
"hoover","AL","1195 - 1320","Mon Aug 10 07:07:10 2020",1195,1320,1257.5
"hoover","AL","1358 - 3703","Mon Aug 10 07:07:10 2020",1358,3703,2530.5
"hoover","AL","1051 - 1614","Mon Aug 10 07:07:10 2020",1051,1614,1332.5
"hoover","AL","775 - 1092","Mon Aug 10 07:07:10 2020",775,1092,933.5
"hoover","AL","1080 - 1090","Mon Aug 10 07:07:10 2020",1080,1090,1085
"hoover","AL","1035 - 1777","Mon Aug 10 07:07:10 2020",1035,1777,1406
"hoover","AL","965 - 1450","Mon Aug 10 07:07:10 2020",965,1450,1207.5
"hoover","AL","965 - 985","Mon Aug 10 07:07:10 2020",965,985,975
"hoover","AL","1053","Mon Aug 10 07:07:10 2020",1053,NA,1053
