"state","city","datePosted","security_jobsPosted"
"AL","madison",2020-07-21,10
"AL","madison",2020-07-22,6
"AL","madison",2020-07-23,3
"AL","madison",2020-07-24,6
"AL","madison",2020-07-25,1
"AL","madison",2020-07-27,1
"AL","madison",2020-07-28,5
"AL","madison",2020-07-29,6
"AL","madison",2020-07-30,4
"AL","madison",2020-07-31,8
"AL","madison",2020-08-01,11
"AL","madison",2020-08-02,3
"AL","madison",2020-08-03,3
"AL","madison",2020-08-04,5
"AL","madison",2020-08-05,1
"AL","madison",2020-08-06,13
"AL","madison",2020-08-07,4
"AL","madison",2020-08-08,4
"AL","madison",2020-08-10,1
"AL","madison",2020-08-12,3
"AL","madison",2020-08-13,1
"AL","madison",2020-08-16,4
"AL","madison",2020-08-17,3
"AL","mobile",2020-06-24,1
"AL","mobile",2020-07-01,3
"AL","mobile",2020-07-02,1
"AL","mobile",2020-07-03,1
"AL","mobile",2020-07-06,3
"AL","mobile",2020-07-07,3
"AL","mobile",2020-07-08,2
"AL","mobile",2020-07-09,3
"AL","mobile",2020-07-10,1
"AL","mobile",2020-07-11,1
"AL","mobile",2020-07-13,2
"AL","mobile",2020-07-14,3
"AL","mobile",2020-07-16,2
"AL","mobile",2020-07-18,9
"AL","mobile",2020-07-21,5
"AL","mobile",2020-07-22,2
"AL","mobile",2020-07-24,3
"AL","mobile",2020-07-25,1
"AL","mobile",2020-07-28,3
"AL","mobile",2020-07-29,1
"AL","mobile",2020-07-30,3
"AL","mobile",2020-07-31,7
"AL","mobile",2020-08-01,2
"AL","mobile",2020-08-02,2
"AL","mobile",2020-08-05,1
"AL","mobile",2020-08-06,1
"AL","mobile",2020-08-07,2
"AL","mobile",2020-08-08,3
"AL","mobile",2020-08-09,1
"AL","mobile",2020-08-10,4
"AL","mobile",2020-08-11,2
"AL","mobile",2020-08-12,3
"AL","mobile",2020-08-14,1
"AL","mobile",2020-08-15,2
"AL","mobile",2020-08-16,2
"AL","montgomery",2020-06-23,1
"AL","montgomery",2020-06-24,1
"AL","montgomery",2020-07-01,1
"AL","montgomery",2020-07-03,2
"AL","montgomery",2020-07-07,2
"AL","montgomery",2020-07-08,5
"AL","montgomery",2020-07-09,2
"AL","montgomery",2020-07-10,1
"AL","montgomery",2020-07-11,4
"AL","montgomery",2020-07-13,3
"AL","montgomery",2020-07-14,5
"AL","montgomery",2020-07-15,1
"AL","montgomery",2020-07-16,1
"AL","montgomery",2020-07-17,2
"AL","montgomery",2020-07-18,2
"AL","montgomery",2020-07-22,5
"AL","montgomery",2020-07-23,1
"AL","montgomery",2020-07-24,1
"AL","montgomery",2020-07-28,3
"AL","montgomery",2020-07-29,3
"AL","montgomery",2020-07-31,2
"AL","montgomery",2020-08-01,3
"AL","montgomery",2020-08-02,2
"AL","montgomery",2020-08-04,1
"AL","montgomery",2020-08-05,1
"AL","montgomery",2020-08-06,4
"AL","montgomery",2020-08-07,4
"AL","montgomery",2020-08-08,1
"AL","montgomery",2020-08-09,2
"AL","montgomery",2020-08-11,1
"AL","montgomery",2020-08-12,1
"AL","montgomery",2020-08-14,1
"AL","montgomery",2020-08-15,1
"AL","montgomery",2020-08-16,4
"AL","tuscaloosa",2020-06-25,1
"AL","tuscaloosa",2020-06-26,1
"AL","tuscaloosa",2020-07-03,2
"AL","tuscaloosa",2020-07-08,4
"AL","tuscaloosa",2020-07-09,5
"AL","tuscaloosa",2020-07-10,2
"AL","tuscaloosa",2020-07-11,3
"AL","tuscaloosa",2020-07-15,1
"AL","tuscaloosa",2020-07-16,1
"AL","tuscaloosa",2020-07-19,4
"AL","tuscaloosa",2020-07-20,1
"AL","tuscaloosa",2020-07-21,4
"AL","tuscaloosa",2020-07-22,8
"AL","tuscaloosa",2020-07-23,5
"AL","tuscaloosa",2020-07-24,2
"AL","tuscaloosa",2020-07-28,3
"AL","tuscaloosa",2020-07-29,3
"AL","tuscaloosa",2020-07-30,9
"AL","tuscaloosa",2020-07-31,4
"AL","tuscaloosa",2020-08-01,6
"AL","tuscaloosa",2020-08-02,2
"AL","tuscaloosa",2020-08-05,2
"AL","tuscaloosa",2020-08-06,1
"AL","tuscaloosa",2020-08-08,10
"AL","tuscaloosa",2020-08-14,1
"AR","bentonville",2020-06-24,1
"AR","bentonville",2020-07-01,2
"AR","bentonville",2020-07-03,2
"AR","bentonville",2020-07-07,3
"AR","bentonville",2020-07-09,3
"AR","bentonville",2020-07-10,3
"AR","bentonville",2020-07-11,1
"AR","bentonville",2020-07-12,1
"AR","bentonville",2020-07-13,1
"AR","bentonville",2020-07-15,2
"AR","bentonville",2020-07-18,4
"AR","bentonville",2020-07-19,1
"AR","bentonville",2020-07-21,5
"AR","bentonville",2020-07-22,6
"AR","bentonville",2020-07-23,3
"AR","bentonville",2020-07-24,6
"AR","bentonville",2020-07-25,3
"AR","bentonville",2020-07-26,1
"AR","bentonville",2020-07-28,6
"AR","bentonville",2020-07-29,5
"AR","bentonville",2020-07-30,3
"AR","bentonville",2020-07-31,7
"AR","bentonville",2020-08-01,3
"AR","bentonville",2020-08-03,5
"AR","bentonville",2020-08-04,1
"AR","bentonville",2020-08-06,2
"AR","bentonville",2020-08-07,2
"AR","bentonville",2020-08-11,1
"AR","bentonville",2020-08-12,1
"AR","bentonville",2020-08-13,3
"AR","bentonville",2020-08-15,4
"AR","bentonville",2020-08-16,1
"AR","bentonville",2020-08-17,1
"AR","conway",2020-06-25,1
"AR","conway",2020-07-02,1
"AR","conway",2020-07-03,1
"AR","conway",2020-07-07,1
"AR","conway",2020-07-08,3
"AR","conway",2020-07-10,1
"AR","conway",2020-07-15,1
"AR","conway",2020-07-17,7
"AR","conway",2020-07-18,3
"AR","conway",2020-07-22,7
"AR","conway",2020-07-23,6
"AR","conway",2020-07-24,3
"AR","conway",2020-07-25,3
"AR","conway",2020-07-28,1
"AR","conway",2020-07-29,3
"AR","conway",2020-07-31,6
"AR","conway",2020-08-01,4
"AR","conway",2020-08-03,2
"AR","conway",2020-08-06,3
"AR","conway",2020-08-07,2
"AR","conway",2020-08-08,3
"AR","conway",2020-08-09,1
"AR","conway",2020-08-12,2
"AR","conway",2020-08-13,1
"AR","conway",2020-08-14,1
"AR","fayetteville",2020-06-24,1
"AR","fayetteville",2020-07-01,2
"AR","fayetteville",2020-07-03,3
"AR","fayetteville",2020-07-04,1
"AR","fayetteville",2020-07-07,1
"AR","fayetteville",2020-07-09,1
"AR","fayetteville",2020-07-10,1
"AR","fayetteville",2020-07-11,1
"AR","fayetteville",2020-07-12,1
"AR","fayetteville",2020-07-13,1
"AR","fayetteville",2020-07-15,3
"AR","fayetteville",2020-07-16,1
"AR","fayetteville",2020-07-18,4
"AR","fayetteville",2020-07-21,5
"AR","fayetteville",2020-07-22,4
"AR","fayetteville",2020-07-23,1
"AR","fayetteville",2020-07-24,6
"AR","fayetteville",2020-07-25,3
"AR","fayetteville",2020-07-26,1
"AR","fayetteville",2020-07-28,4
"AR","fayetteville",2020-07-29,4
"AR","fayetteville",2020-07-30,3
"AR","fayetteville",2020-07-31,3
"AR","fayetteville",2020-08-01,3
"AR","fayetteville",2020-08-03,3
"AR","fayetteville",2020-08-05,1
"AR","fayetteville",2020-08-06,2
"AR","fayetteville",2020-08-07,2
"AR","fayetteville",2020-08-11,1
"AR","fayetteville",2020-08-12,2
"AR","fayetteville",2020-08-13,3
"AR","fayetteville",2020-08-15,2
"AR","fayetteville",2020-08-16,1
"AR","fayetteville",2020-08-17,1
"AR","fort+smith",2020-07-08,3
"AR","fort+smith",2020-07-16,3
"AR","fort+smith",2020-07-17,1
"AR","fort+smith",2020-07-22,3
"AR","fort+smith",2020-07-23,1
"AR","fort+smith",2020-07-31,1
"AR","fort+smith",2020-08-01,5
"AR","fort+smith",2020-08-05,1
"AR","fort+smith",2020-08-06,1
"AR","fort+smith",2020-08-14,1
"AR","fort+smith",2020-08-15,4
"AR","jonesboro",2020-06-24,1
"AR","jonesboro",2020-06-29,1
"AR","jonesboro",2020-06-30,1
"AR","jonesboro",2020-07-09,2
"AR","jonesboro",2020-07-11,2
"AR","jonesboro",2020-07-15,3
"AR","jonesboro",2020-07-16,1
"AR","jonesboro",2020-07-20,3
"AR","jonesboro",2020-07-21,1
"AR","jonesboro",2020-07-22,1
"AR","jonesboro",2020-07-23,5
"AR","jonesboro",2020-07-24,1
"AR","jonesboro",2020-07-27,9
"AR","jonesboro",2020-08-03,3
"AR","jonesboro",2020-08-05,5
"AR","jonesboro",2020-08-06,1
"AR","jonesboro",2020-08-10,3
"AR","jonesboro",2020-08-12,1
"AR","jonesboro",2020-08-17,3
"AR","little+rock",2020-06-24,1
"AR","little+rock",2020-06-25,1
"AR","little+rock",2020-07-02,2
"AR","little+rock",2020-07-03,2
"AR","little+rock",2020-07-08,2
"AR","little+rock",2020-07-09,1
"AR","little+rock",2020-07-10,2
"AR","little+rock",2020-07-11,2
"AR","little+rock",2020-07-14,5
"AR","little+rock",2020-07-15,5
"AR","little+rock",2020-07-16,4
"AR","little+rock",2020-07-17,4
"AR","little+rock",2020-07-18,5
"AR","little+rock",2020-07-20,1
"AR","little+rock",2020-07-21,3
"AR","little+rock",2020-07-22,11
"AR","little+rock",2020-07-23,6
"AR","little+rock",2020-07-24,3
"AR","little+rock",2020-07-25,5
"AR","little+rock",2020-07-28,3
"AR","little+rock",2020-07-29,4
"AR","little+rock",2020-07-31,3
"AR","little+rock",2020-08-01,3
"AR","little+rock",2020-08-03,3
"AR","little+rock",2020-08-05,1
"AR","little+rock",2020-08-06,5
"AR","little+rock",2020-08-07,3
"AR","little+rock",2020-08-08,5
"AR","little+rock",2020-08-09,1
"AR","little+rock",2020-08-11,2
"AR","little+rock",2020-08-12,3
"AR","little+rock",2020-08-13,1
"AR","little+rock",2020-08-14,1
"AR","little+rock",2020-08-17,1
"AR","north+little+rock",2020-06-24,1
"AR","north+little+rock",2020-07-02,1
"AR","north+little+rock",2020-07-03,1
"AR","north+little+rock",2020-07-07,1
"AR","north+little+rock",2020-07-08,4
"AR","north+little+rock",2020-07-09,1
"AR","north+little+rock",2020-07-10,2
"AR","north+little+rock",2020-07-11,1
"AR","north+little+rock",2020-07-14,5
