"state","city","datePosted","warehouse_jobsPosted"
"AL","dothan",2020-07-01,2
"AL","dothan",2020-07-02,4
"AL","dothan",2020-07-06,1
"AL","dothan",2020-07-07,4
"AL","dothan",2020-07-08,7
"AL","dothan",2020-07-09,7
"AL","dothan",2020-07-10,2
"AL","dothan",2020-07-11,5
"AL","dothan",2020-07-13,3
"AL","dothan",2020-07-14,5
"AL","dothan",2020-07-15,2
"AL","dothan",2020-07-16,5
"AL","dothan",2020-07-17,14
"AL","dothan",2020-07-18,8
"AL","dothan",2020-07-19,1
"AL","dothan",2020-07-20,2
"AL","dothan",2020-07-21,8
"AL","dothan",2020-07-22,10
"AL","dothan",2020-07-23,5
"AL","dothan",2020-07-24,4
"AL","dothan",2020-07-25,1
"AL","dothan",2020-07-27,8
"AL","dothan",2020-07-28,12
"AL","dothan",2020-07-29,9
"AL","dothan",2020-07-31,5
"AL","dothan",2020-08-01,6
"AL","dothan",2020-08-03,3
"AL","dothan",2020-08-04,3
"AL","dothan",2020-08-05,3
"AL","dothan",2020-08-07,7
"AL","dothan",2020-08-08,1
"AL","dothan",2020-08-10,3
"AL","dothan",2020-08-11,3
"AL","dothan",2020-08-12,4
"AL","dothan",2020-08-13,1
"AL","dothan",2020-08-14,4
"AL","dothan",2020-08-15,1
"AL","dothan",2020-08-17,3
"AL","hoover",2020-06-23,1
"AL","hoover",2020-06-25,1
"AL","hoover",2020-06-26,1
"AL","hoover",2020-07-01,1
"AL","hoover",2020-07-02,1
"AL","hoover",2020-07-06,1
"AL","hoover",2020-07-08,2
"AL","hoover",2020-07-09,1
"AL","hoover",2020-07-10,3
"AL","hoover",2020-07-13,5
"AL","hoover",2020-07-14,7
"AL","hoover",2020-07-15,3
"AL","hoover",2020-07-16,7
"AL","hoover",2020-07-17,11
"AL","hoover",2020-07-18,7
"AL","hoover",2020-07-20,8
"AL","hoover",2020-07-21,5
"AL","hoover",2020-07-22,12
"AL","hoover",2020-07-23,5
"AL","hoover",2020-07-24,8
"AL","hoover",2020-07-25,3
"AL","hoover",2020-07-26,1
"AL","hoover",2020-07-27,11
"AL","hoover",2020-07-28,8
"AL","hoover",2020-07-29,4
"AL","hoover",2020-07-30,17
"AL","hoover",2020-07-31,5
"AL","hoover",2020-08-01,3
"AL","hoover",2020-08-02,1
"AL","hoover",2020-08-03,8
"AL","hoover",2020-08-04,4
"AL","hoover",2020-08-05,5
"AL","hoover",2020-08-06,4
"AL","hoover",2020-08-07,8
"AL","hoover",2020-08-08,6
"AL","hoover",2020-08-10,7
"AL","hoover",2020-08-12,1
"AL","hoover",2020-08-13,3
"AL","hoover",2020-08-14,2
"AL","hoover",2020-08-15,4
"AL","hoover",2020-08-16,2
"AL","hoover",2020-08-17,3
"AL","huntsville",2020-06-24,1
"AL","huntsville",2020-06-29,4
"AL","huntsville",2020-06-30,1
"AL","huntsville",2020-07-01,1
"AL","huntsville",2020-07-02,1
"AL","huntsville",2020-07-04,1
"AL","huntsville",2020-07-06,2
"AL","huntsville",2020-07-07,2
"AL","huntsville",2020-07-08,1
"AL","huntsville",2020-07-09,5
"AL","huntsville",2020-07-10,17
"AL","huntsville",2020-07-11,4
"AL","huntsville",2020-07-12,3
"AL","huntsville",2020-07-13,2
"AL","huntsville",2020-07-14,3
