"state","city","datePosted","personalAssistant_jobsPosted"
"AZ","phoenix",2020-08-12,1
"AZ","phoenix",2020-08-13,2
"AZ","phoenix",2020-08-14,5
"AZ","phoenix",2020-08-16,2
"AZ","phoenix",2020-08-17,4
"AZ","scottsdale",2020-06-22,1
"AZ","scottsdale",2020-06-23,3
"AZ","scottsdale",2020-06-25,1
"AZ","scottsdale",2020-06-26,2
"AZ","scottsdale",2020-06-27,2
"AZ","scottsdale",2020-06-30,2
"AZ","scottsdale",2020-07-01,2
"AZ","scottsdale",2020-07-02,2
"AZ","scottsdale",2020-07-03,1
"AZ","scottsdale",2020-07-04,1
"AZ","scottsdale",2020-07-06,3
"AZ","scottsdale",2020-07-07,3
"AZ","scottsdale",2020-07-08,5
"AZ","scottsdale",2020-07-09,5
"AZ","scottsdale",2020-07-10,1
"AZ","scottsdale",2020-07-11,1
"AZ","scottsdale",2020-07-13,3
"AZ","scottsdale",2020-07-14,2
"AZ","scottsdale",2020-07-16,3
"AZ","scottsdale",2020-07-17,4
"AZ","scottsdale",2020-07-18,2
"AZ","scottsdale",2020-07-19,1
"AZ","scottsdale",2020-07-21,2
"AZ","scottsdale",2020-07-22,5
"AZ","scottsdale",2020-07-23,3
"AZ","scottsdale",2020-07-24,4
"AZ","scottsdale",2020-07-25,1
"AZ","scottsdale",2020-07-26,1
"AZ","scottsdale",2020-07-27,4
"AZ","scottsdale",2020-07-28,5
"AZ","scottsdale",2020-07-29,6
"AZ","scottsdale",2020-07-30,5
"AZ","scottsdale",2020-07-31,6
"AZ","scottsdale",2020-08-01,2
"AZ","scottsdale",2020-08-03,1
"AZ","scottsdale",2020-08-04,2
"AZ","scottsdale",2020-08-05,2
"AZ","scottsdale",2020-08-06,3
"AZ","scottsdale",2020-08-07,7
"AZ","scottsdale",2020-08-08,2
"AZ","scottsdale",2020-08-10,2
"AZ","scottsdale",2020-08-12,1
"AZ","scottsdale",2020-08-13,4
"AZ","scottsdale",2020-08-14,3
"AZ","scottsdale",2020-08-15,1
"AZ","scottsdale",2020-08-16,2
"AZ","scottsdale",2020-08-17,4
"AZ","surprise",2020-06-22,1
"AZ","surprise",2020-06-23,3
"AZ","surprise",2020-06-25,1
"AZ","surprise",2020-06-26,1
"AZ","surprise",2020-06-30,1
